city,state,zip,is_available,,
Billings,Montana,59101,TRUE,,
Rochester,Minnesota,55904,TRUE,,
Nampa,Idaho,83651,TRUE,,
Broken Arrow,Oklahoma,74012,TRUE,,
Lafayette,Louisiana,70506,TRUE,,
Spring Hill,Florida,10461,TRUE,,
Fairfield,California,94533,TRUE,,
Thousand Oaks,California,91362,TRUE,,
Goodyear,Arizona,14455,TRUE,,
Vallejo,California,94590,TRUE,,
Concord,California,94519,TRUE,,
Menifee,California,29714,TRUE,,
Independence,Missouri,64050,TRUE,,
Hartford,Connecticut,6103,TRUE,,
Conroe,Texas,77301,TRUE,,
Arvada,Colorado,80002,TRUE,,
Buckeye,Arizona,85326,TRUE,,
High Point,North Carolina,27260,TRUE,,
Antioch,California,94509,TRUE,,
Cambridge,Massachusetts,2139,TRUE,,
Brandon,Florida,33511,TRUE,,
League City,Texas,77573,TRUE,,
Las Cruces,New Mexico,88001,TRUE,,
Ann Arbor,Michigan,48104,TRUE,,
Clearwater,Florida,33756,TRUE,,
Odessa,Texas,79761,TRUE,,
Richardson,Texas,75080,TRUE,,
Tuscaloosa,Alabama,35401,TRUE,,
Waterbury,Connecticut,6702,TRUE,,
Allen,Texas,75013,TRUE,,
Berkeley,California,94704,TRUE,,
Manchester,New Hampshire,3101,TRUE,,
East Los Angeles,California,90022,TRUE,,
Greeley,Colorado,80631,TRUE,,
Rio Rancho,New Mexico,87144,TRUE,,
Pompano Beach,Florida,33060,TRUE,,
Georgetown,Texas,78626,TRUE,,
Evansville,Indiana,47708,TRUE,,
Westminster,Colorado,80031,TRUE,,
Concord,North Carolina,28025,TRUE,,
Lowell,Massachusetts,1852,TRUE,,
West Jordan,Utah,84088,TRUE,,
Tyler,Texas,75702,TRUE,,
South Fulton,Georgia,30336,TRUE,,
Richmond,California,94804,TRUE,,
Carlsbad,California,92008,TRUE,,
Elgin,Illinois,60120,TRUE,,
Murrieta,California,92562,TRUE,,
Provo,Utah,84601,TRUE,,
Lansing,Michigan,48933,TRUE,,
Springfield,Illinois,62701,TRUE,,
Everett,Washington,98201,TRUE,,
Spokane Valley,Washington,10210,TRUE,,
Sparks,Nevada,89431,TRUE,,
Temecula,California,41000,TRUE,,
Pueblo,Colorado,81003,TRUE,,
Beaumont,Texas,77701,TRUE,,
Palm Coast,Florida,32164,TRUE,,
Riverview,Florida,10009,TRUE,,
St George,Utah,84770,TRUE,,
Miami Gardens,Florida,18605,TRUE,,
Santa Maria,California,93454,TRUE,,
Edinburg,Texas,78539,TRUE,,
Davie,Florida,33314,TRUE,,
Peoria,Illinois,61602,TRUE,,
Jurupa Valley,California,92509,TRUE,,
Columbia,Maryland,10300,TRUE,,
Hillsboro,Oregon,97123,TRUE,,
Gresham,Oregon,97030,TRUE,,
San Buenaventura (Ventura),California,93001,TRUE,,
Bend,Oregon,97703,TRUE,,
Fishers,Indiana,11601,TRUE,,
Sugar Land,Texas,15958,TRUE,,
Fayetteville,Arkansas,72701,TRUE,,
San Tan Valley,Arizona,85143,TRUE,,
Costa Mesa,California,92626,TRUE,,
Centennial,Colorado,13133,TRUE,,
Lee's Summit,Missouri,64063,TRUE,,
Downey,California,11111,TRUE,,
Green Bay,Wisconsin,54301,TRUE,,
Suffolk,Virginia,23434,TRUE,,
Brockton,Massachusetts,2301,TRUE,,
Boulder,Colorado,80302,TRUE,,
Sandy Springs,Georgia,30328,TRUE,,
Fort Myers,Florida,33901,TRUE,,
Carmel,Indiana,46032,TRUE,,
South Bend,Indiana,46601,TRUE,,
Dearborn,Michigan,13615,TRUE,,
West Covina,California,91790,TRUE,,
Yuma,Arizona,85364,TRUE,,
Renton,Washington,98057,TRUE,,
Rialto,California,92376,TRUE,,
Albany,New York,12242,TRUE,,
Wichita Falls,Texas,76301,TRUE,,
Vacaville,California,95688,TRUE,,
Highlands Ranch,Colorado,80126,TRUE,,
Deltona,Florida,32725,TRUE,,
Quincy,Massachusetts,2169,TRUE,,
Lynn,Massachusetts,1901,TRUE,,
Boca Raton,Florida,33432,TRUE,,
Hesperia,California,92345,TRUE,,
Tracy,California,95376,TRUE,,
El Cajon,California,92020,TRUE,,
New Bedford,Massachusetts,2740,TRUE,,
Edmond,Oklahoma,73034,TRUE,,
Chico,California,95928,TRUE,,
El Monte,California,10900,TRUE,,
Temple,Texas,76501,TRUE,,
